DEPT,DVER,BDIA,ROPA,HKLA,HKLX,WOBA,TQA,TQX,RPMA,RPMB,SPPA,TVA,MFIA,MFOA,MDIA,MDOA,MTIA,MTOA,ECDT,BDTI,BDDI,BRVC,TCTI,FPPG,DXC,GASX,HSX,MTHA,ETHA,PRPA,IBTA,NBTA,IPNA,NPNA,C1C2,C1C3,C1C4,C1C5,LITH,CCAL,CDOL,WLFL,WLCT
254,254.02,26.0,97.12,102.34,104.17,6.46,1.42,5.19,None,150.11,86.34,5.22,3675.03,98.65,1.03,1.08,26.0,-548.65,0.0,0.05,5.22,1.0,0.18,None,0.67,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,None,None,None,None,None,None,None,None
255,256.03,26.0,105.96,101.99,102.98,6.8,1.34,3.12,None,150.2,86.45,5.22,3675.02,98.67,1.03,1.08,26.0,-350.12,0.0,0.07,7.23,1.36,0.2,None,0.65,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,None,None,None,None,None,None,None,None
256,256.03,26.0,105.96,101.99,102.98,6.8,1.34,3.12,None,150.2,86.45,5.22,3675.02,98.67,1.03,1.08,26.0,-200.76,0.0,0.07,7.23,1.36,0.2,None,0.65,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,None,None,None,None,None,None,None,None
257,257.11,26.0,57.27,100.96,102.91,7.84,3.0,14.31,None,150.28,88.0,5.22,3675.14,98.68,1.03,1.08,26.0,-901.97,0.0,0.09,8.28,1.77,0.42,None,0.8,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,None,None,None,None,None,None,None,None
258,258.08,26.0,88.2,97.25,102.45,5.23,7.99,14.55,None,150.21,96.3,5.22,3674.8,98.73,1.03,None,26.0,None,0.0,0.1,9.25,1.97,0.43,None,0.66,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
259,259.03,26.0,86.42,99.1,103.69,5.33,7.25,16.09,None,150.33,96.5,5.22,3674.68,98.73,1.03,1.08,26.0,-246.06,0.0,0.11,10.2,2.17,0.44,None,0.66,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,None,None,None,None,None,None,None,None
260,260.02,26.0,55.55,99.14,102.32,2.38,4.44,7.84,None,150.33,92.33,5.22,3675.38,98.73,1.03,1.08,26.0,-237.79,0.0,0.13,11.19,2.49,0.45,None,0.65,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,None,None,None,None,None,None,None,None
261,261.01,26.0,51.03,99.08,102.37,2.44,2.4,5.8,None,150.21,89.74,5.22,3675.03,98.73,1.03,1.08,26.0,-205.13,0.0,0.15,12.19,2.85,0.47,None,0.66,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,None,None,None,None,None,None,None,None
262,262.01,26.0,54.26,99.97,101.65,1.55,2.0,5.93,None,150.33,88.37,5.22,3674.87,98.72,1.03,1.08,26.0,-172.22,0.0,0.17,13.19,3.19,0.49,None,0.61,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,None,None,None,None,None,None,None,None
263,263.02,26.0,50.45,99.41,103.08,2.11,3.95,7.48,None,150.34,90.83,5.22,3674.81,98.72,1.03,1.08,26.0,-79.84,0.0,0.19,14.2,3.55,0.51,None,0.65,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,None,None,None,300.19,None,None,None,None
