DEPT,DVER,BDIA,ROPA,HKLA,HKLX,WOBA,TQA,TQX,RPMA,RPMB,SPPA,TVA,MFIA,MFOA,MDIA,MDOA,MTIA,MTOA,ECDT,BDTI,BDDI,BRVC,TCTI,FPPG,DXC,GASX,HSX,MTHA,ETHA,PRPA,IBTA,NBTA,IPNA,NPNA,C1C2,C1C3,C1C4,C1C5,LITH
172,172.0,36.0,22.8,33.8,None,1.48,6.49,None,None,69.17,62.0,None,2869.72,None,None,None,69.17,None,None,3.67,27.08,3.8,5.01,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
173,173.0,36.0,22.83,33.8,None,1.48,6.2,None,None,69.0,62.0,None,2869.72,None,None,None,69.0,None,None,3.81,28.08,3.98,5.2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
174,174.0,36.0,22.91,33.79,None,1.49,5.75,None,None,69.0,62.0,None,2869.72,None,None,None,69.0,None,None,3.95,29.08,4.17,5.38,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
175,175.0,36.0,22.76,33.81,None,1.47,4.41,None,None,69.0,62.0,None,2869.72,None,None,None,69.0,None,None,4.08,30.08,4.35,5.57,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
176,176.0,36.0,22.65,33.87,None,1.41,3.67,None,None,69.14,62.0,None,2869.72,None,None,None,69.14,None,None,4.22,31.08,4.53,5.75,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
177,177.0,36.0,19.38,33.84,None,1.44,4.74,None,None,69.0,62.0,None,2869.72,None,None,None,69.0,None,None,4.35,32.08,4.74,5.94,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
178,178.0,36.0,15.24,33.84,None,1.44,4.4,None,None,69.14,62.0,None,2842.49,None,None,None,69.14,None,None,4.49,33.08,5.02,6.12,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
179,179.0,36.0,19.41,33.77,None,1.51,4.43,None,None,69.0,61.0,None,2779.1,None,None,None,69.0,None,None,4.63,34.08,5.23,6.31,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
180,180.0,36.0,21.74,33.74,None,1.54,4.47,None,None,69.0,61.0,None,2779.1,None,None,None,69.0,None,None,4.76,35.08,5.42,6.5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
181,181.0,36.0,27.96,33.66,None,1.62,5.91,None,None,69.0,61.0,None,2779.1,None,None,None,69.0,None,None,4.9,36.08,5.57,6.68,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
