DEPT,DVER,BDIA,ROPA,HKLA,HKLX,WOBA,TQA,TQX,RPMA,RPMB,SPPA,TVA,MFIA,MFOA,MDIA,MDOA,MTIA,MTOA,ECDT,BDTI,BDDI,BRVC,TCTI,FPPG,DXC,GASX,HSX,MTHA,ETHA,PRPA,IBTA,NBTA,IPNA,NPNA,C1C2,C1C3,C1C4,C1C5,LITH
147,147.0,8.5,1.43,84.67,87.92,1.0,1.15,17.18,None,19.48,3.13,82.68,999.62,46.91,1.02,None,28.46,None,0.0,3.23,7.53,1.66,2.38,1.0,0.87,None,None,None,None,None,None,None,None,None,None,None,None,None,None
148,148.0,8.5,1.26,84.67,87.92,0.21,1.25,17.18,None,19.48,3.13,82.68,999.62,46.91,1.02,None,28.46,None,0.0,3.23,7.53,1.66,2.38,1.0,0.69,None,None,None,None,None,None,None,None,None,None,None,None,None,None
149,149.0,8.5,1.65,84.67,87.92,1.0,1.35,17.18,None,19.48,3.13,82.68,999.62,46.91,1.02,None,28.46,None,0.0,3.23,7.53,1.66,2.38,1.0,0.87,None,None,None,None,None,None,None,None,None,None,None,None,None,None
150,150.0,8.5,1.42,84.67,87.92,1.32,1.34,17.18,None,19.48,3.13,82.68,999.62,46.91,1.02,None,28.46,None,0.0,3.23,7.53,1.66,2.38,1.0,0.92,None,None,None,None,None,None,None,None,None,None,None,None,None,None
151,151.0,8.5,1.58,84.67,87.92,2.76,1.25,17.18,None,19.48,3.13,82.68,999.62,46.91,1.02,None,28.46,None,0.0,3.23,7.53,1.66,2.38,1.0,1.06,None,None,None,None,None,None,None,None,None,None,None,None,None,None
152,152.0,8.5,1.32,96.75,102.07,2.45,1.22,8.56,None,19.52,4.0,82.68,999.61,48.89,1.02,None,28.44,None,0.0,3.77,8.53,2.94,2.89,1.0,1.06,None,None,None,None,None,None,None,None,None,None,None,None,None,None
153,153.0,8.5,1.46,96.75,102.07,2.4,1.32,8.56,None,19.52,4.0,82.68,999.61,48.89,1.02,None,28.44,None,0.0,3.77,8.53,2.94,2.89,1.0,1.05,None,None,None,None,None,None,None,None,None,None,None,None,None,None
154,154.0,8.5,1.26,96.75,102.07,2.34,1.65,8.56,None,19.52,4.0,82.68,999.61,48.89,1.02,None,28.44,None,0.0,3.77,8.53,2.94,2.89,1.0,1.05,None,None,None,None,None,None,None,None,None,None,None,None,None,None
155,155.0,8.5,1.59,84.67,87.92,3.11,1.43,17.18,None,19.48,4.0,82.68,999.62,46.91,1.02,None,28.46,None,0.0,3.23,7.53,1.66,2.38,1.0,1.09,None,None,None,None,None,None,None,None,None,None,None,None,None,None
156,156.0,8.5,1.86,96.75,102.07,2.7,1.82,8.56,None,19.52,5.0,82.68,999.61,48.89,1.02,None,28.44,None,0.0,3.77,8.53,2.94,2.89,1.0,1.08,None,None,None,None,None,None,None,None,None,None,None,None,None,None
157,157.0,8.5,1.63,97.49,100.11,2.66,1.96,7.19,None,21.91,9.09,82.68,1269.44,46.35,1.02,None,28.44,None,0.0,4.38,9.53,4.57,3.47,1.0,1.13,None,None,None,None,None,None,None,None,None,None,None,None,None,None
158,158.0,36.0,2.98,97.64,100.11,2.5,1.59,4.71,None,34.48,32.77,82.68,2046.67,47.04,1.02,None,28.46,None,0.12,4.72,10.53,5.97,3.8,1.0,7.19,None,None,None,None,None,None,None,None,None,None,None,None,None,None
159,159.0,36.0,1.45,97.42,102.04,2.73,2.47,13.44,None,51.17,32.55,82.68,1427.97,52.78,1.02,None,28.48,None,1.02,5.0,11.53,7.72,4.08,1.0,0.88,None,None,None,None,None,None,None,None,None,None,None,None,None,None
160,160.0,36.0,1.54,96.35,102.82,3.8,2.57,17.86,None,55.76,37.64,75.15,2469.31,50.49,1.02,None,28.47,None,1.02,5.56,12.53,11.48,4.78,1.0,1.06,None,None,None,None,None,None,None,None,None,None,None,None,None,None
161,161.0,36.0,1.87,95.51,99.3,4.63,5.94,15.47,None,79.48,50.83,68.78,2973.95,52.39,1.02,None,28.48,None,1.02,5.67,13.53,12.53,4.89,1.0,0.87,None,None,None,None,None,None,None,None,None,None,None,None,None,None
162,162.0,36.0,1.19,95.23,99.8,4.92,6.01,15.31,None,79.5,50.41,68.78,2973.97,53.88,1.02,None,28.48,None,1.02,5.8,14.53,13.79,5.02,1.0,0.91,None,None,None,None,None,None,None,None,None,None,None,None,None,None
163,163.0,36.0,1.45,95.31,98.49,4.84,5.45,14.2,None,79.46,49.96,68.8,2974.0,52.32,1.02,None,28.48,None,1.02,5.92,15.53,15.14,5.31,1.0,0.89,None,None,None,None,None,None,None,None,None,None,None,None,None,None
164,164.0,36.0,1.54,95.56,98.68,4.58,5.42,11.56,None,79.47,49.99,68.82,2974.0,50.09,1.02,None,28.48,None,1.02,6.03,16.54,16.23,5.42,1.0,0.88,None,None,None,None,None,None,None,None,None,None,None,None,None,None
165,165.0,36.0,9.43,95.49,98.23,4.66,5.23,9.94,None,79.48,66.96,68.83,3403.56,51.79,1.02,None,28.48,None,1.02,6.13,17.54,17.25,5.52,1.0,0.87,None,None,None,None,None,None,None,None,None,None,None,None,None,None
166,166.0,36.0,10.31,95.7,98.74,4.45,4.57,7.41,None,79.56,69.48,68.83,3481.65,49.35,1.02,None,28.47,None,1.02,6.23,18.53,18.19,5.62,1.0,0.85,None,None,None,None,None,None,None,None,None,None,None,None,None,None
167,167.0,36.0,10.64,96.06,98.65,4.08,4.34,7.59,None,79.46,69.29,68.83,3481.39,43.4,1.02,None,28.47,None,1.02,6.33,19.53,19.09,6.71,1.0,0.83,None,None,None,None,None,None,None,None,None,None,None,None,None,None
168,168.0,36.0,11.66,96.19,98.68,3.95,4.58,9.29,None,79.5,68.75,68.83,3481.4,47.2,1.02,None,28.47,None,1.02,6.41,20.54,19.92,6.8,1.0,0.81,None,None,None,None,None,None,None,None,None,None,None,None,None,None
169,169.0,36.0,11.44,96.19,98.99,3.95,4.49,8.92,None,79.47,68.72,68.83,3481.29,47.85,1.02,None,28.47,None,1.02,6.5,21.54,20.77,6.89,1.0,0.81,None,None,None,None,None,None,None,None,None,None,None,None,None,None
170,170.0,36.0,10.26,95.99,98.65,4.15,3.48,6.7,None,75.83,68.96,67.32,3481.04,48.52,1.02,None,28.46,None,1.02,6.6,22.54,21.85,7.22,1.0,0.83,None,None,None,None,None,None,None,None,None,None,None,None,None,None
171,171.0,36.0,12.42,96.27,99.55,3.87,3.47,6.26,None,79.47,68.22,48.54,3480.44,48.79,1.02,None,28.47,None,1.02,6.68,23.54,22.63,7.3,1.0,0.8,None,None,None,None,None,None,None,None,None,None,None,None,None,None
172,172.0,36.0,12.9,96.22,99.07,3.92,3.53,6.49,None,79.41,68.37,48.54,3480.35,49.33,1.02,None,28.47,None,1.02,6.75,24.54,23.38,7.37,1.0,0.79,None,None,None,None,None,None,None,None,None,None,None,None,None,None
173,173.0,36.0,13.36,96.02,99.13,4.13,3.7,6.59,None,82.2,83.68,48.55,3827.27,48.75,1.02,None,28.48,None,1.02,6.83,25.53,24.12,7.44,1.0,0.8,None,None,None,None,None,None,None,None,None,None,None,None,None,None
174,174.0,36.0,10.03,96.14,98.35,4.01,3.35,7.85,None,89.49,88.8,48.54,3963.86,46.22,1.02,None,28.48,None,1.02,6.93,26.54,25.21,7.54,1.0,0.86,None,None,None,None,None,None,None,None,None,None,None,None,None,None
175,175.0,36.0,10.0,85.91,98.29,2.86,3.0,60.06,None,57.5,59.09,37.75,2583.12,45.08,1.02,None,28.49,None,1.02,7.27,27.53,27.65,7.89,1.0,0.93,None,None,None,None,None,None,None,None,None,None,None,None,None,None
176,176.0,36.0,15.3,96.62,98.29,6.23,3.98,6.97,None,89.47,111.2,46.0,4426.64,44.66,1.02,None,28.5,None,1.02,7.33,28.54,28.36,7.95,1.0,0.85,None,None,None,None,None,None,None,None,None,None,None,None,None,None
177,177.0,36.0,15.2,97.24,98.93,5.6,3.14,8.04,None,89.61,111.37,58.61,4426.77,44.42,1.02,None,28.5,None,1.02,7.4,29.54,29.07,8.02,1.0,0.83,None,None,None,None,None,None,None,None,None,None,None,None,None,None
178,178.0,36.0,15.39,97.05,98.32,5.8,2.93,6.07,None,89.46,111.28,74.56,4426.77,44.03,1.02,None,28.5,None,1.02,7.46,30.53,29.78,8.08,1.0,0.84,None,None,None,None,None,None,None,None,None,None,None,None,None,None
179,179.0,36.0,15.11,96.77,98.35,6.08,3.24,5.67,None,89.52,111.2,77.35,4426.9,44.07,1.02,None,28.5,None,1.02,7.53,31.53,30.5,8.15,1.0,0.85,None,None,None,None,None,None,None,None,None,None,None,None,None,None
180,180.0,36.0,14.75,96.77,99.1,6.07,3.71,6.0,None,89.51,111.16,77.31,4426.73,44.26,1.02,None,28.5,None,1.02,7.6,32.54,31.24,8.21,1.0,0.85,None,None,None,None,None,None,None,None,None,None,None,None,None,None
181,181.0,36.0,5.73,96.17,98.37,6.76,0.71,7.36,None,33.39,84.16,64.22,3504.52,42.91,1.02,None,28.51,None,1.02,7.78,33.56,32.13,8.54,1.0,0.86,None,None,None,None,None,None,None,None,None,None,None,None,None,None
182,182.0,36.0,22.11,95.64,99.02,3.44,6.02,10.17,None,89.46,109.18,66.04,4425.77,46.88,1.02,None,28.51,None,1.02,7.82,34.53,32.61,8.59,1.0,0.7,None,None,None,None,None,None,None,None,None,None,None,None,None,None
183,183.0,36.0,20.5,95.74,97.65,3.35,5.99,10.69,None,89.49,109.22,76.19,4425.69,49.51,1.02,None,28.51,None,1.02,7.87,35.54,33.14,8.63,1.0,0.71,None,None,None,None,None,None,None,None,None,None,None,None,None,None
184,184.0,36.0,20.28,95.36,98.65,3.72,6.54,16.13,None,89.52,109.18,79.27,4425.79,49.04,1.02,None,28.52,None,1.02,7.92,36.54,33.67,8.68,1.0,0.73,None,None,None,None,None,None,None,None,None,None,None,None,None,None
185,185.0,36.0,18.79,94.78,97.98,4.31,6.81,10.73,None,89.49,109.38,79.25,4425.73,47.7,1.02,None,28.52,None,1.02,7.97,37.54,34.25,8.73,1.0,0.76,None,None,None,None,None,None,None,None,None,None,None,None,None,None
186,186.0,36.0,19.74,95.06,97.34,4.03,7.09,10.83,None,89.49,109.28,79.21,4425.77,45.81,1.02,None,28.52,None,1.02,8.02,38.54,34.8,8.78,1.0,0.74,None,None,None,None,None,None,None,None,None,None,None,None,None,None
187,187.0,36.0,18.46,94.65,98.21,4.44,7.03,11.32,None,89.47,109.46,79.21,4425.74,45.86,1.02,None,28.52,None,1.02,8.08,39.54,35.39,8.84,1.0,0.77,None,None,None,None,None,None,None,None,None,None,None,None,None,None
188,188.0,36.0,18.96,95.03,97.59,4.06,7.38,12.07,None,89.53,109.63,79.21,4425.79,47.34,1.02,None,28.52,None,1.02,8.13,40.54,35.96,8.89,1.0,0.75,None,None,None,None,None,None,None,None,None,None,None,None,None,None
189,189.0,36.0,19.84,95.09,97.56,4.0,7.93,16.56,None,89.55,109.49,79.21,4425.77,43.07,1.02,None,28.52,None,1.02,8.18,41.54,36.51,8.94,1.0,0.74,None,None,None,None,None,None,None,None,None,None,None,None,None,None
190,190.0,36.0,19.94,95.34,97.68,3.75,7.74,11.56,None,89.47,109.53,79.21,4425.84,44.59,1.02,None,28.51,None,1.02,8.23,42.54,37.05,8.99,1.0,0.73,None,None,None,None,None,None,None,None,None,None,None,None,None,None
191,191.0,36.0,6.92,96.53,99.05,2.56,3.28,9.5,None,44.93,110.2,74.56,4425.71,40.53,1.02,None,28.51,None,1.02,8.37,43.54,38.01,9.34,1.0,0.75,None,None,None,None,None,None,None,None,None,None,None,None,None,None
192,192.0,36.0,20.12,97.24,99.94,1.85,4.77,8.03,None,89.47,108.41,68.1,4425.63,39.08,1.02,None,28.52,None,1.02,8.42,44.54,38.55,9.39,1.0,0.65,None,None,None,None,None,None,None,None,None,None,None,None,None,None
193,193.0,36.0,19.95,96.97,100.22,2.12,5.37,8.73,None,89.52,108.39,68.11,4425.65,41.9,1.02,None,28.52,None,1.02,8.47,45.54,39.1,9.44,1.0,0.67,None,None,None,None,None,None,None,None,None,None,None,None,None,None
194,194.0,36.0,20.39,97.45,100.14,1.63,5.12,9.95,None,89.48,108.49,68.09,4425.64,48.23,1.02,None,28.52,None,1.02,8.52,46.54,39.63,9.49,1.0,0.64,None,None,None,None,None,None,None,None,None,None,None,None,None,None
195,195.0,36.0,19.89,97.46,99.55,1.63,4.25,7.12,None,89.58,108.37,68.13,4425.7,42.84,1.02,None,28.52,None,1.02,8.57,47.54,40.17,9.54,1.0,0.64,None,None,None,None,None,None,None,None,None,None,None,None,None,None
196,196.0,36.0,19.17,97.32,99.27,1.77,4.38,7.76,None,89.41,108.45,68.11,4425.64,39.48,1.02,None,28.52,None,1.02,8.63,48.55,40.75,9.59,1.0,0.66,None,None,None,None,None,None,None,None,None,None,None,None,None,None
197,197.0,36.0,19.2,97.29,99.07,1.79,5.17,8.91,None,89.52,108.35,68.11,4425.65,49.42,1.02,None,28.52,None,1.02,8.68,49.54,41.31,9.65,1.0,0.66,None,None,None,None,None,None,None,None,None,None,None,None,None,None
198,198.0,36.0,19.72,96.55,98.46,2.54,5.68,8.65,None,89.46,108.25,68.09,4425.67,44.87,1.02,None,28.52,None,1.02,8.73,50.53,41.86,9.7,1.0,0.69,None,None,None,None,None,None,None,None,None,None,None,None,None,None
199,199.0,36.0,15.27,94.92,97.84,4.17,6.08,9.97,None,89.6,108.06,68.1,4425.68,45.56,1.02,None,28.52,None,1.02,8.79,51.54,42.57,9.76,1.0,0.79,None,None,None,None,None,None,None,None,None,None,None,None,None,None
200,200.0,36.0,12.91,94.55,97.14,4.53,6.21,9.66,None,89.45,108.19,68.09,4425.65,33.72,1.02,None,28.52,None,1.02,8.87,52.53,43.41,9.84,1.0,0.83,None,None,None,None,None,None,None,None,None,None,None,None,None,None
201,201.0,36.0,8.82,94.02,101.26,5.07,5.4,11.64,None,89.39,108.23,68.08,4425.64,53.66,1.02,None,28.52,None,1.02,8.98,53.54,44.64,9.95,1.0,0.91,None,None,None,None,None,None,None,None,None,None,None,None,None,None
202,202.0,36.0,4.84,94.05,97.2,5.03,4.35,9.64,None,89.48,107.85,68.06,4425.68,50.29,1.02,None,28.52,None,1.02,19.19,54.54,46.89,21.15,1.0,1.02,None,None,None,None,None,None,None,None,None,None,None,None,None,None
203,203.0,36.0,4.9,94.69,100.0,4.4,3.96,7.71,None,89.48,107.28,68.06,4425.67,49.75,1.02,None,28.52,None,1.02,19.31,55.53,49.1,21.28,1.0,0.99,None,None,None,None,None,None,None,None,None,None,None,None,None,None
204,204.0,36.0,10.23,95.26,100.0,3.83,3.23,10.54,None,98.79,107.26,68.07,4425.68,54.45,1.02,None,28.52,None,1.02,15.66,57.27,52.78,17.71,1.0,0.94,None,None,None,None,None,None,None,None,None,None,None,None,None,None
205,205.0,36.0,8.02,96.2,100.36,2.89,4.03,9.14,None,99.46,106.93,68.06,4425.65,53.86,1.02,None,28.52,None,1.02,15.78,58.27,54.29,17.84,1.0,0.86,None,None,None,None,None,None,None,None,None,None,None,None,None,None
206,206.0,36.0,13.48,97.93,101.12,1.16,3.15,6.44,None,99.47,107.15,68.05,4425.59,54.76,1.02,None,28.52,None,1.02,15.86,59.28,55.2,17.91,1.0,0.68,None,None,None,None,None,None,None,None,None,None,None,None,None,None
207,207.0,36.0,19.1,97.86,100.72,1.23,4.64,10.18,None,99.53,107.07,68.04,4425.62,53.81,1.02,None,28.52,None,1.02,15.91,60.28,55.83,17.96,1.0,0.64,None,None,None,None,None,None,None,None,None,None,None,None,None,None
208,208.0,26.0,21.21,102.17,105.73,0.16,2.12,5.49,None,59.54,97.26,0.0,3379.63,42.36,1.02,None,28.41,None,1.02,0.59,0.92,4.79,1.7,1.0,0.44,None,None,None,None,None,None,None,None,None,None,None,None,None,None
209,209.0,26.0,26.12,102.75,105.65,1.12,1.68,5.09,None,42.7,95.52,0.0,3455.56,42.18,1.02,None,28.35,None,1.02,0.06,1.93,5.02,1.99,1.0,0.49,None,None,None,None,None,None,None,None,None,None,None,None,None,None
210,210.0,26.0,51.09,102.55,104.61,1.23,2.85,6.55,None,39.6,96.69,0.0,3455.76,42.23,1.02,None,28.34,None,1.02,0.08,2.92,5.11,2.01,1.0,0.39,None,None,None,None,None,None,None,None,None,None,None,None,None,None
211,211.0,26.0,9.53,102.69,104.81,1.24,1.69,6.88,None,39.44,94.61,0.0,3455.36,42.25,1.02,None,28.34,None,1.02,0.18,3.92,5.61,2.12,1.0,0.63,None,None,None,None,None,None,None,None,None,None,None,None,None,None
212,212.0,26.0,14.74,103.11,106.43,0.78,1.71,5.3,None,39.53,94.75,0.0,3455.3,42.29,1.02,None,28.33,None,1.02,0.25,4.92,5.93,2.18,1.0,0.53,None,None,None,None,None,None,None,None,None,None,None,None,None,None
213,213.0,26.0,16.42,102.96,104.56,0.98,1.65,5.97,None,39.41,94.71,0.0,3455.49,42.34,1.02,None,28.32,None,1.02,0.31,5.93,6.23,2.25,1.0,0.54,None,None,None,None,None,None,None,None,None,None,None,None,None,None
214,214.0,26.0,12.0,102.97,105.2,1.12,1.96,7.4,None,39.5,95.31,0.0,3455.57,42.72,1.02,None,28.31,None,1.02,0.4,6.92,6.62,2.33,1.0,0.59,None,None,None,None,None,None,None,None,None,None,None,None,None,None
215,215.0,26.0,10.61,102.88,105.51,1.42,1.53,5.87,None,39.48,85.54,0.0,3095.19,42.23,1.02,None,28.3,None,1.02,0.49,7.92,7.07,2.42,1.0,0.63,None,None,None,None,None,None,None,None,None,None,None,None,None,None
216,216.0,26.0,10.08,102.67,105.68,0.76,1.45,5.22,None,39.5,95.92,0.0,3455.38,42.36,1.02,None,28.29,None,1.02,0.59,8.92,7.55,2.52,1.0,0.58,None,None,None,None,None,None,None,None,None,None,None,None,None,None
217,217.0,26.0,16.68,102.17,105.28,0.39,1.46,6.82,None,39.15,94.03,0.0,3424.35,42.43,1.02,None,28.29,None,1.02,0.65,9.94,7.85,2.68,1.0,0.47,None,None,None,None,None,None,None,None,None,None,None,None,None,None
218,218.0,26.0,2.12,70.98,106.49,0.36,1.4,60.04,None,7.44,33.87,0.0,1462.65,42.58,1.02,None,28.25,None,1.02,1.11,10.92,8.34,2.99,1.0,0.52,None,None,None,None,None,None,None,None,None,None,None,None,None,None
219,219.0,26.0,12.02,103.05,106.32,0.37,1.68,7.18,None,39.47,101.67,0.0,3478.24,42.39,1.02,None,28.24,None,1.02,1.19,11.92,8.74,3.08,1.0,0.51,None,None,None,None,None,None,None,None,None,None,None,None,None,None
220,220.0,26.0,9.94,103.27,107.49,0.19,1.68,8.04,None,39.56,101.13,0.0,3478.18,47.2,1.02,None,28.24,None,1.02,1.3,12.93,9.23,3.18,1.0,0.49,None,None,None,None,None,None,None,None,None,None,None,None,None,None
221,221.0,26.0,11.83,103.09,106.82,0.36,2.0,8.96,None,39.5,102.24,0.0,3478.21,46.73,1.02,None,28.23,None,1.02,1.38,13.92,9.63,3.26,1.0,0.51,None,None,None,None,None,None,None,None,None,None,None,None,None,None
222,222.0,26.0,11.94,103.26,107.49,0.27,2.36,11.66,None,39.48,93.77,0.0,3305.0,58.75,1.02,None,28.23,None,1.02,1.46,14.92,10.03,3.34,1.0,0.49,None,None,None,None,None,None,None,None,None,None,None,None,None,None
223,223.0,26.0,11.99,103.12,106.1,0.32,2.18,6.97,None,39.43,98.24,0.0,3231.63,63.56,1.02,None,28.22,None,1.02,1.55,15.91,10.43,3.42,1.0,0.5,None,None,None,None,None,None,None,None,None,None,None,None,None,None
224,224.0,26.0,10.63,103.1,105.37,0.29,1.3,6.23,None,39.43,101.14,0.0,3478.45,43.4,1.02,None,28.22,None,1.02,1.64,16.92,10.88,3.52,1.0,0.51,None,None,None,None,None,None,None,None,None,None,None,None,None,None
