DEPT,DVER,BDIA,ROPA,HKLA,HKLX,WOBA,TQA,TQX,RPMA,RPMB,SPPA,TVA,MFIA,MFOA,MDIA,MDOA,MTIA,MTOA,ECDT,BDTI,BDDI,BRVC,TCTI,FPPG,DXC,GASX,HSX,MTHA,ETHA,PRPA,IBTA,NBTA,IPNA,NPNA,C1C2,C1C3,C1C4,C1C5,LITH,CCAL,CDOL,WLFL,WLCT
145,145.0,36.0,63.47,93.06,94.98,1.85,1.4,1.5,None,14.0,1.25,61.92,364.0,0.0,1.03,1.01,12.25,4.32,1.03,0.0,5.03,0.0,0.03,None,0.24,0.0,0,0.0,0.3,0.2,0.0,0.0,0.7,0.0,None,None,None,None,None,None,None,None,None
146,146.0,36.0,15.16,92.8,94.67,2.21,1.37,1.57,None,13.0,1.21,61.95,377.0,0.0,1.03,1.01,12.25,4.32,1.03,0.01,6.02,0.0,0.03,None,0.48,0.0,0,0.0,0.3,0.2,0.0,0.0,0.7,0.0,None,None,None,None,None,None,None,None,None
147,147.0,36.0,2.71,93.57,95.49,1.94,1.37,1.6,None,13.0,2.67,59.44,376.94,0.0,1.03,1.01,12.25,4.32,1.03,0.37,7.0,0.0,0.23,1.04,0.77,0.0,0,0.0,0.3,0.2,0.0,0.0,0.7,0.0,None,None,None,None,None,None,None,None,None
148,148.0,36.0,2.25,90.75,96.35,3.11,1.37,4.56,None,11.0,2.83,58.72,555.64,0.0,1.03,1.01,12.25,4.33,1.03,0.82,8.01,0.03,0.58,1.03,0.84,0.0,0,0.0,0.3,0.2,0.0,0.0,0.7,0.0,None,None,None,None,None,None,None,None,None
149,149.0,36.0,2.85,93.69,98.26,1.12,1.51,5.84,None,12.0,2.56,53.08,555.64,0.0,1.03,1.01,12.25,4.33,1.03,1.17,9.0,0.24,0.85,1.03,0.68,0.0,0,0.0,0.3,0.2,0.0,0.0,0.7,0.0,None,None,None,None,None,None,None,None,None
150,150.0,36.0,6.13,92.96,94.73,1.85,2.44,4.41,None,12.0,2.51,62.6,555.64,0.0,1.03,1.01,12.25,4.33,1.03,1.33,10.0,0.33,0.98,1.03,0.61,0.0,0,0.0,0.3,0.2,0.0,0.0,0.7,0.0,None,None,None,None,None,None,None,None,None
151,151.0,36.0,5.69,91.86,94.28,2.65,2.8,6.46,None,13.0,2.65,56.64,555.64,0.0,1.03,1.01,12.25,4.33,1.03,1.51,11.0,0.44,1.12,1.03,0.68,0.0,0,0.0,0.3,0.2,0.0,0.0,0.7,0.0,None,None,None,None,None,None,None,None,None
152,152.0,36.0,6.8,93.28,95.28,1.63,1.78,8.27,None,10.89,2.74,57.72,783.09,0.0,1.03,1.01,12.25,4.33,1.03,1.79,12.9,0.83,1.48,1.03,0.56,0.0,0,0.0,0.3,0.2,0.0,0.0,0.7,0.0,None,None,None,None,None,None,None,None,None
153,153.0,36.0,10.08,93.59,96.23,2.65,2.09,4.77,None,13.0,2.92,59.92,1115.7,0.0,1.03,1.01,12.25,4.32,1.03,1.89,13.9,1.01,1.57,1.03,0.57,0.0,0,0.0,0.3,0.2,0.0,0.0,0.7,0.0,None,None,None,None,None,None,None,None,None
154,154.0,36.0,10.33,93.82,95.65,1.69,1.82,4.72,None,12.0,2.96,67.3,1199.92,0.0,1.03,1.01,12.25,4.32,1.03,1.98,14.91,1.19,1.66,1.03,0.51,0.0,0,0.0,0.3,0.2,0.0,0.0,0.7,0.0,None,None,None,None,None,None,None,None,None
155,155.0,36.0,9.74,93.57,95.28,1.94,2.21,8.16,None,11.0,3.03,59.81,1200.0,0.0,1.03,1.01,12.25,4.32,1.03,2.09,15.92,1.38,1.76,1.03,0.52,0.0,0,0.0,0.3,0.2,0.0,0.0,0.7,0.0,None,None,None,None,None,None,None,None,None
156,156.0,36.0,7.43,92.62,95.58,1.94,2.73,7.07,None,14.96,3.24,50.89,1199.99,0.0,1.03,1.01,12.25,4.33,1.03,2.22,16.9,1.62,1.88,1.03,0.62,0.0,0,0.0,0.3,0.2,0.0,0.0,0.7,0.0,None,None,None,None,None,None,None,None,None
157,157.0,36.0,5.52,92.26,95.35,2.25,3.37,7.21,None,14.99,2.92,56.79,1200.01,0.0,1.03,1.01,12.25,4.32,1.03,2.4,17.9,1.95,2.05,1.03,0.69,0.0,0,0.0,0.3,0.2,0.0,0.0,0.7,0.0,None,None,None,None,None,None,None,None,None
158,158.0,36.0,2.5,91.37,94.55,2.12,4.07,10.59,None,16.17,3.62,57.03,1268.91,0.0,1.03,1.01,12.25,4.32,1.03,2.8,18.9,2.73,2.43,1.03,0.83,0.0,0,0.0,0.3,0.2,0.0,0.0,0.7,0.0,None,None,None,None,None,None,None,None,None
159,159.0,36.0,1.4,93.2,97.2,1.07,2.44,11.0,None,16.8,25.98,58.08,2244.66,0.0,1.03,1.01,12.25,4.32,1.03,3.51,19.9,4.18,3.03,1.03,0.84,0.0,0,0.0,0.3,0.2,0.0,0.0,0.7,0.0,None,None,None,None,None,None,None,None,None
160,160.0,36.0,6.65,91.99,96.11,2.23,5.01,10.65,None,48.27,44.94,59.01,3257.12,0.0,1.03,1.01,12.25,4.32,1.03,3.66,20.9,5.07,3.18,1.03,0.86,0.0,0,0.0,0.3,0.2,0.0,0.0,0.7,0.0,None,None,None,None,None,None,None,None,None
161,161.0,36.0,4.96,92.27,97.59,1.98,6.0,10.87,None,49.48,53.87,58.8,3563.85,0.0,1.03,1.01,12.25,4.32,1.03,3.9,22.08,6.49,3.42,1.03,0.9,0.0,0,0.0,0.3,0.2,0.0,0.0,0.7,0.0,None,None,None,None,None,None,None,None,None
162,162.0,36.0,6.04,91.83,96.02,2.4,6.84,14.38,None,48.12,62.96,53.7,3843.89,0.0,1.03,1.01,12.25,4.32,1.03,4.06,23.07,7.45,3.58,1.03,0.89,0.0,0,0.0,0.3,0.2,0.0,0.0,0.7,0.0,None,None,None,None,None,None,None,None,None
163,163.0,36.0,7.31,91.89,94.98,2.34,6.54,14.81,None,55.38,75.98,60.45,4246.05,0.0,1.03,1.01,12.25,4.32,1.03,4.2,24.07,8.37,3.72,1.03,0.87,0.0,0,0.0,0.3,0.2,0.0,0.0,0.7,0.0,None,None,None,None,None,None,None,None,None
164,164.0,36.0,11.25,91.51,97.6,2.71,6.97,16.79,None,69.99,82.9,66.06,4455.79,0.0,1.03,1.01,12.25,4.32,1.03,4.29,25.07,9.13,3.8,1.03,0.86,0.0,0,0.0,0.3,0.2,0.0,0.0,0.7,0.0,None,None,None,None,None,None,None,None,None
165,165.0,36.0,12.03,91.91,96.37,2.32,6.38,13.63,None,70.02,82.18,69.93,4455.82,0.0,1.03,1.01,12.25,4.32,1.03,4.37,26.07,9.83,3.89,1.03,0.83,0.0,0,0.0,0.3,0.2,0.0,0.0,0.7,0.0,None,None,None,None,None,None,None,None,None
166,166.0,36.0,12.93,92.3,97.29,1.94,5.84,11.02,None,78.65,82.22,73.59,4455.82,0.0,1.03,1.01,12.25,4.32,1.03,4.45,27.07,10.57,3.96,1.03,0.81,0.0,0,0.0,0.3,0.2,0.0,0.0,0.7,0.0,None,None,None,None,None,None,None,None,None
