Model,Parameters,Mean Absolute Error,Mean Absolute Percentage Error,R2 Score,Mean Squared Error,Root Mean Squared Error
Support Vector Regression ,"SVR(kernel = 'poly', C=10, epsilon = 0.1)",6.10896683488746,0.6812356297585485,0.13831276098641365,74.62209371958609,8.638408054704644
Support Vector Regression ,"SVR(kernel = 'linear', C=1, epsilon = 0.1)",4.5578354067393345,0.38267087772716196,0.5583985008283159,38.242678974359926,6.184066540259728
Random Forest Regressor,RandomForestRegressor(),1.3537061363636362,0.09884863062211387,0.9220671941938413,6.7489790673409065,2.5978797253415924
Gradient Boosting Regressor,GradientBoostingRegressor(),1.7650776094692768,0.14034891168253583,0.9019085789662455,8.494714650581928,2.9145693765257894
Decision Tree,dt_model = DecisionTreeRegressor(),1.6414318181818182,0.10180686540168656,0.8636709276103047,11.80609431818182,3.435999755265099
MLP Regressor,"mlp_model = MLPRegressor(hidden_layer_sizes=(100,50), activation= ""relu"", solver = ""adam"", max_iter=500)",4.257289463936144,0.3522228855512655,0.5861277251124726,35.84132883289503,5.9867628007876705
